name,county,type,contact_person,phone,email,sub_county,nearest-landmark,lat,lon
Kaaleng Dispensary,Turkana,Hospital,,,,Turkana North,Kaaleng,3.90231,35.38123
Kaani Dispensary,Machakos,Hospital,,,,Kathiani,Kaani,-1.51621,37.35348
Kaanwa CFW Clinic,Tharaka Nithi,Hospital,,,,Meru South,Kaanwa,0.0,37.0
Kaanwa CFW Clinic,Tharaka Nithi,Hospital,,,,Meru South,Kaanwa,-0.032203,37.72013
Kaanwa Dispensary,Tharaka Nithi,Hospital,,,,Meru South,Chuka Town/ Kaanwa mkt,-0.32152,37.72414
Kaapus Dispensary,Turkana,Hospital,,,,Loima,Lodwar,3.07424,35.50892
Kaare Dispensary,Tharaka Nithi,Hospital,,,,Maara,Chogoria,-0.18257,37.79269
Kaathari Dispensary (CDF),Embu,Hospital,,,,Embu East,Runyenjes,-0.39413,37.60475
Kabaa Dispensary,Kitui,Hospital,,,,Kitui Central,Kitui,-1.35767,38.04501
Kabalwat Dispensary,Elgeyo Marakwet,Hospital,,,,Keiyo South,Eldoret,0.33887,35.54616
Kabarak Health Centre,Nakuru,Hospital,,,,Rongai,Rongai,-0.16875,35.96547
Kabarak University Medical Centre,Nakuru,Hospital,,,,Rongai, ,-0.16899,35.96529
Kabare Health Centre,Kirinyaga,Hospital,,,,Kirinyaga East,Kabare,-0.50573,37.32042
Kabarnet District Hospital,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.48505,35.74176
Kabarnet Faith Clinic,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.49404,35.74056
Kabarnet High School Dispensary,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.49275,35.74594
Kabarnet Womens' Clinic,Baringo,Hospital,,,,Baringo Central,Kabarnet,0.49478,35.7439
Kabartonjo District Hospital,Baringo,Hospital,,,,Baringo North,Kabartonjo,0.61824,35.787
Kabati Dispensary,Nyeri,Hospital,,,,Kieni West,Mwiyogo,-0.25521,36.82663
Kabati Dispensary (Laikipia West),Laikipia,Hospital,,,,Laikipia West,Kabati town,0.46905,36.39072
Kabati Maternity Nursing Home,Kitui,Hospital,,,,Kitui West,Kabati,-1.23545,37.91632
Kabati Medical Centre,Kitui,Hospital,,,,Kitui West,Kabati,-1.23696,37.91541
Kabati Medical Clinic,Murang'a,Hospital,,,,Kandara,Kabati,-0.95138,37.10665
Kabati Medicare Health Services Nursing Home,Kitui,Hospital,,,,Kitui Central,Kabati,-1.23245,37.9159
Kabatini Health Centre,Nakuru,Hospital,,,,Nakuru North,Kabatini,-0.21116,36.16205
Kabazi Sub-District Hospital,Nakuru,Hospital,,,,Subukia,Kabazi,-0.07637,36.16787
Kabete Approved School Dispensary,Nairobi,Hospital,,,,Westlands,near Lower Kabete Market,-1.239953,36.730672
Kabetwa Health Centre,Elgeyo Marakwet,Hospital,,,,Marakwet East,Kapsowar,1.16066,35.64437
Kabianga Health Centre,Kericho,Hospital,,,,Belgut,Kericho,-0.44595,35.14648
Kabianga Tea Research,Kericho,Hospital,,,,Belgut,Kericho,-0.221417,35.17761
Kabichbich Health Centre,West Pokot,Hospital,,,,Pokot South,Kabichbich,1.20981,35.27705
Kabichbich Miss Dispensary,West Pokot,Hospital,,,,Pokot South,Kabichbich,1.19589,35.28641
Kabiemit Dispensary (Keiyo),Elgeyo Marakwet,Hospital,,,,Keiyo South,Eldoret,0.31408,35.5295
Kabiemit Dispensary (Mosop),Nandi,Hospital,,,,Nandi North,Eldoret,0.51637,35.07591
Kabimoi Dispensary,Baringo,Hospital,,,,Koibatek,Eldama Ravine,0.02522,35.78285
Kabinga (CHBC) Dispensary,Kericho,Hospital,,,,Belgut,Sosiot,-0.410755,35.1559
Kabirirsang Dispensary,Nandi,Hospital,,,,Nandi Central,Kapsabet,0.17472,35.16954
Kabirirsang Youth Centre,Nandi,Hospital,,,,Nandi Central, ,0.16883,35.16825
Kabiro Medical Clinic,Nairobi,Hospital,,,,Dagoretti North,Kawangware 56,-1.28042,36.75193
Kabiruini Health Clinic,Nyeri,Hospital,,,,Mathira West,Ruguru,-0.26875,37.04805
Kabisaga Dispensary,Nandi,Hospital,,,,Nandi North,Kapsabet,0.43097,35.11065
Kabitungu Dispensary,Kericho,Hospital,,,,Bureti,Kabitungu,-0.47643,35.14623
Kabiyet Dispensary,Baringo,Hospital,,,,Koibatek,Kabiyet Center,0.00145,35.73072
Kabiyet Health Centre,Nandi,Hospital,,,,Nandi North,Kapsabet,0.40515,35.08472
Kabobo Health Centre,Uasin Gishu,Hospital,,,,Eldoret West,Eldoret,0.7384,35.2638
Kaboeito Dispensary,Kericho,Hospital,,,,Bureti,Ngoina Estate,-0.53265,35.07139
Kabogor Dispensary,Baringo,Hospital,,,,Mogotio,Emining Centre,0.19231,35.85483
Kaboi Dispensary,Nandi,Hospital,,,,Nandi South,Kipkenyo,0.10462,35.09219
Kabolecho Dispensary,Narok,Hospital,,,,Trans Mara East,Kabolecho Market,-0.99162,35.13925
Kabondo Sub-District Hospital,Homa Bay,Hospital,,,,Rachuonyo South,Kadongo Market,-0.42077,34.87435
Kaborok Dispensary,Kericho,Hospital,,,,Belgut,Sosiot,-0.39421,35.15865
Kaborom Dispensary,Bungoma,Hospital,,,,Mt Elgon,Kaborom,0.86638,34.78542
Kaboson Health Centre,Bomet,Hospital,,,,Chepalungu,Kaboson Market,-0.98822,35.2314
Kaboswa Tea Dispensary,Nandi,Hospital,,,,Nandi East,Nandi Hills,0.10455,35.22457
Kaboywo Dispensary,Bungoma,Hospital,,,,Mt Elgon,Chelilde,0.91243,34.76319
Kabras Action Group (KAG) Clinic,Kakamega,Hospital,,,,Kakamega North (Malava),Kakunga,0.37599,34.83777
Kabuchai Health Centre,Bungoma,Hospital,,,,Bungoma Central,Chwele,0.64657,34.56012
Kabuguri Dispensary,Embu,Hospital,,,,Mbeere South,Kabuguri,-0.73643,37.7174
Kabula Dispensary,Bungoma,Hospital,,,,Bumula,Bungoma,0.47438,34.5257
Kabulokor Dispensary,Turkana,Hospital,,,,Loima,Kalemunyang,2.81356,35.37318
Kabulwo Dispensary,Elgeyo Marakwet,Hospital,,,,Keiyo,Iten,0.78815,35.58417
Kabunyeria Health Centre,Nandi,Hospital,,,,Tinderet,Nandi Hills,0.03786,35.27241
Kabuodo Dispensary,Busia,Hospital,,,,Samia,Odiado Market,0.312307,34.1649
Kabura Dispensary,Siaya,Hospital,,,,Siaya,Nduru market,0.13638,34.13259
Kabururu Dispensary,Tharaka Nithi,Hospital,,,,Meru South,Kabururu,-0.40707,37.77733
Kabuteti (AIC) Medical Clinic,Kiambu,Hospital,,,,Gatundu,Gatundutown,-0.94381,36.76355
Kabuti Clinic,Kirinyaga,Hospital,,,,Kirinyaga East,Kianyaga,-0.47531,37.3322
Kabutii-Matiret Dispensary,Kericho,Hospital,,,,Belgut,Sondu,-0.38998,35.01269
Kabuto Dispensary,Migori,Hospital,,,,Nyatike,Kabuto,-0.9241,34.1703
Kabwareng Dispensary,Nandi,Hospital,,,,Nandi Central,Kapsabet,0.13895,34.91616
Kacheliba District Hospital,West Pokot,Hospital,,,,North Pokot,Makutano,1.49008,35.01068
Kacheliba Mobile Clinic,West Pokot,Hospital,,,,North Pokot,Makutano,1.48028,35.01351
Kacheliba South West Clinic,West Pokot,Hospital,,,,North Pokot,"Kapenguria, Kacheliba, Kacheliba",1.48128,35.01028
Kachoda Dispensary,Turkana,Hospital,,,,Turkana North,Lokitaung,4.30986,35.68339
Kachuth Dispensary,Homa Bay,Hospital,,,,Ndhiwa,Ratanga,-0.33342,34.42402
Kaciongo Medical Clinic,Meru,Hospital,,,,Igembe South,Maua town,0.23558,37.93981
Kadafu Medical Clinic,Machakos,Hospital,,,,Matungulu,Kantafu,-1.38223,37.66303
Kadaina Community Dispensary,Kilifi,Hospital,,,,Kilifi North,Matsangoni,-3.40301,39.9276
Kadem Tb & Leprosy Dispensary,Migori,Hospital,,,,Nyatike,Nyandema,-1.00538,34.24691
Kadenge Ratuoro Health Centre,Siaya,Hospital,,,,Siaya,Kadenge Ratuoro,0.02373,34.17477
Kaderboy Medical Clinic (Old Town),Mombasa,Hospital,,,,Mvita,Mombasa,-4.06217,39.67344
Kadhola Dispensary,Homa Bay,Hospital,,,,Ndhiwa, ,-0.81123,34.28983
Kadija Dispensary,Mandera,Hospital,,,,Mandera East,Bula mpya centre,3.93007,41.84758
Kadinda Health Centre,Kisumu,Hospital,,,,Nyando,Ahero,-0.24004,34.89063
Kadokong Dispensary,West Pokot,Hospital,,,,West Pokot,Kapenguria,1.25053,35.0221
Kadokony Dispensary,West Pokot,Hospital,,,,West Pokot,Cheptuya,1.27399,34.99752
Kadvan Medical Clinic,Kakamega,Hospital,,,,Butere,Sabatia,0.22354,34.61198
Kadzinuni Dispensary,Kilifi,Hospital,,,,Kilifi North,Vipingo,-3.74511,39.81237
Kaelo Dispensary,Meru,Hospital,,,,Igembe North,Kaelo Market,0.35179,37.94994
Kaeris Dispensary,Turkana,Hospital,,,,Turkana North,Kanakurudio,4.03175,35.5928
Kaewa Dispensary,Machakos,Hospital,,,,Masinga,Kaewa,-0.93695,37.67678
Kaewa live care clinic,Machakos,Hospital,,,,Masinga,Kaewa,-0.94071,37.67596
Kafuduni Dispensary,Kwale,Hospital,,,,Kinango,Mariakani,-3.90842,39.4982
Kagaa Dispensary,Kiambu,Hospital,,,,Lari,Kagaa,-1.02817,36.70875
Kageni Med Clinic,Tharaka Nithi,Hospital,,,,Tharaka North,Mukothima,0.01296,37.94275
Kageno Dispensary,Homa Bay,Hospital,,,,Mbita,Rusinga,-0.45775,34.27647
Kager Dispensary,Homa Bay,Hospital,,,,Homa Bay,Oneno,-0.56097,34.53711
Kagere Dispensary,Nyeri,Hospital,,,,Nyeri South,Othaya Town,-0.506,36.94852
Kagicha Dispensary,Nyeri,Hospital,,,,Nyeri South,Kagicha,-0.60031,36.90191
Kagio Catholic Dispensary (Mary Immucate Catholic,Kirinyaga,Hospital,,,,Kirinyaga West,Kagio,-0.63112,37.25387
Kagio Gyne Centre,Kirinyaga,Hospital,,,,Kirinyaga West,Kagio Market,-0.37484,37.15345
Kagio Nursing Home (Kagio),Kirinyaga,Hospital,,,,Kirinyaga West,Kagio,-0.63112,37.25078
Kagio Nursing Home (Kerugoya),Kirinyaga,Hospital,,,,Kirinyaga Central, ,-0.49895,37.2777
Kagioini Catholic Dispensary,Nyeri,Hospital,,,,Nyeri South, ,-0.49733,36.90517
Kagoji Dispensary,Meru,Hospital,,,,Meru Central,Kithirune Market,-0.01617,37.57329
Kagonye Dispensary,Nyeri,Hospital,,,,Nyeri South,Othaya Town,-0.52279,36.91132
Kag-Sombo Medical Clinic,Tana River,Hospital,,,,Bura,Sombo,-0.59172,39.69671
Kagumo Boys High School Clinic,Nyeri,Hospital,,,,Nyeri Central, ,-0.40493,37.01458
Kagumo College Dispensary,Nyeri,Hospital,,,,Tetu,Gatitu,-0.45522,37.0013
Kagumo Health Centre,Kirinyaga,Hospital,,,,Kirinyaga Central,Kagumo,-0.4742,37.23719
Kagumo Live Giving Dispensary/Laboratory,Kirinyaga,Hospital,,,,Kirinyaga Central,Kagumo,-0.47255,37.23825
Kagumo Maternity,Kirinyaga,Hospital,,,,Kirinyaga West,Kagumo,-0.42733,37.23822
Kagumo Surgical and Medical Clinic,Kirinyaga,Hospital,,,,Kirinyaga Central,Kagumo Town,-0.28598,37.14099
Kagumo Teachers College Dispensary,Nyeri,Hospital,,,,Tetu,Gatitu,-0.46755,36.99947
Kagumoini Dispensary (Muranga North),Murang'a,Hospital,,,,Mathioya,Kiriaini,-0.62007,36.9821
Kagumoini Dispensary (Muranga South),Murang'a,Hospital,,,,Kandara,Kagumoini,-0.89741,37.07161
Kagunduini Dispensary,Murang'a,Hospital,,,,Kandara,Kagunduini,-0.89464,37.04529
Kagunduini Medical Clinic (Nyeri South),Nyeri,Hospital,,,,Tetu,Kagunduini,-0.491812,37.0454
Kaguthi Dispensary,Murang'a,Hospital,,,,Kandara,Kaguthi,-0.87875,36.95783
Kagwa Health Centre,Siaya,Hospital,,,,Rarieda,Amoyo,-0.22851,34.25665
Kagwathi (SDA) Dispensary,Murang'a,Hospital,,,,Kandara,Gakuyu,-0.85942,37.07856
Kagwe Catholic Dispensary,Kiambu,Hospital,,,,Lari,Kagwe,-1.01273,36.73447
Kagwe Dispensary,Kiambu,Hospital,,,,Lari,Kagwe,-1.00315,36.73671
Kagwe Health Services Clinic,Kiambu,Hospital,,,,Lari,Kagwe,-1.00347,36.74367
Kahaaro Dispensary,Nyeri,Hospital,,,,Mukurweini,Kahaaro,-0.59231,37.06782
Kahaaro Medical Clinic,Nyeri,Hospital,,,,Tetu,Gichira,-0.48441,37.01108
Kahada Medical Clinic,Mombasa,Hospital,,,,Changamwe,Mombasa,-4.00502,39.5794
Kahara Medical Clinic,Nyeri,Hospital,,,,Mukurweini,Kaheti,-0.5345,37.05645
Kaharo Dispensary,Murang'a,Hospital,,,,Muranga South,Kaharo,-0.79999,37.06166
Kahatia Medical Clinic,Murang'a,Hospital,,,,Kahuro,Kahuro,-0.716275,36.9033
Kahawa Dispensary,Nyamira,Hospital,,,,Borabu,Manga,-0.81482,35.06147
Kahawa Garrison Health Centre,Nairobi,Hospital,,,,Roysambu,Nairobi,-1.18048,36.89748
Kahawa Wendani Hospital,Kiambu,Hospital,,,,Ruiru,Githurai,-1.19498,36.92596
Kahawa West Health Centre,Nairobi,Hospital,,,,Roysambu,kahawa market (city council market),-1.18716,36.91278
Kahembe Health Centre,Nyandarua,Hospital,,,,Nyandarua North,Leshau Karai,0.02463,36.45391
Kaheti Dispensary & Maternity,Nyeri,Hospital,,,,Mukurweini,Kaheti,-0.53228,37.05904
Kahiga Dispensary,Nyeri,Hospital,,,,Nyeri Central,Kiganjo,-0.43732,37.04248
Kahuhia (ACK) Clinic,Murang'a,Hospital,,,,Kahuro,Kahuro,-0.71,37.04
Kahuho Community Dispensary,Kiambu,Hospital,,,,Kikuyu,Kahuho,-1.21489,36.6767
Kahuho I (AIC) Dispensary,Nyandarua,Hospital,,,,Nyandarua Central,Olkalou,-0.29098,36.33236
Kahuho Private Dispensary,Kiambu,Hospital,,,,Kikuyu,Kahuho,-1.21191,36.67467
Kahuro Medical Clinic,Murang'a,Hospital,,,,Kahuro,Kahuro,-0.745661,36.9985
Kahurru Dispensary,Nyandarua,Hospital,,,,Nyandarua Central,Oklalou,-0.25626,36.37513
Kahuru Dispensary (Nyeri North),Nyeri,Hospital,,,,Mathira East,Iriaini,-0.45692,37.16091
Kahuti Medical Clinic,Murang'a,Hospital,,,,Kahuro,Kahuro,-0.71528,36.9738
Kai Dispensary,Makueni,Hospital,,,,Makindu,Kai,-2.27199,37.87936
Kaia Dispensary,Makueni,Hospital,,,,Kilungu,Kitandi Market,-1.74983,37.34643
Kaiani (ABC) Dispensary,Machakos,Hospital,,,,Kathiani,Kaiani,-1.395634,37.30139
Kaiani Dispensary,Machakos,Hospital,,,,Mwala,Wamunyu,-1.35276,37.5882
Kaibei Dispensary,Trans Nzoia,Hospital,,,,Kwanza,Kitale,1.08089,34.80747
Kaiboi Mission Health Centre,Nandi,Hospital,,,,Nandi North,Kapsabet,0.4102,35.01878
Kaibos Dipensary,West Pokot,Hospital,,,,West Pokot,Kapenguria,1.21212,35.14475
Kaigat (SDA) Health Centre,Nandi,Hospital,,,,Nandi North,Eldoret,0.49177,35.10722
Kaikor Health Centre,Turkana,Hospital,,,,Turkana North,Kaikor,4.72124,35.34123
Kaikungu Dispensary,Kitui,Hospital,,,,Mwingi West, ,-1.09944,37.98712
Kaimbaga Dispensary,Nyandarua,Hospital,,,,Nyandarua Central,Captain,-0.3864,36.38465
Kaimosi Mission Hospital,Vihiga,Hospital,,,,Hamisi,Cheptulu,0.13183,34.84834
Kaimosi Tea Dispensary,Nandi,Hospital,,,,Nandi Central,Kapsabet,0.15719,34.93193
Kainuk Health Centre,Turkana,Hospital,,,,Turkana South,Kainuk,1.84694,35.6562
Kairi Medical Clinic,Kiambu,Hospital,,,,Gatundu North,Kairi,-0.95963,36.93001
Kairini Dispensary,Kirinyaga,Hospital,,,,Kirinyaga West,Kairini,-0.54418,37.16929
Kairo Dispensary,Murang'a,Hospital,,,,Mathioya,Kiriaini,-0.61066,36.8629
Kairo Medical Clinic,Murang'a,Hospital,,,,Mathioya,Kiriaini,-0.587235,36.7786
Kairungu Dispensary (Kyuso),Kitui,Hospital,,,,Kyuso,Mivukoni,-0.42641,38.31078
Kairungu Dispensary (Mwingi),Kitui,Hospital,,,,Mwingi Central,Kairungu,-0.89049,37.93089
Kairuri Health Centre,Embu,Hospital,,,,Manyatta,Manyatta,-0.42618,37.46468
Kairuthi Dispensary,Nyeri,Hospital,,,,Nyeri South,Kairuthi,-0.53318,36.88813
Kaisagat Health Centre,Trans Nzoia,Hospital,,,,Kwanza,Kitale,1.07622,35.0449
Kaisugu Dispensary,Kericho,Hospital,,,,Londiani,Brooke Bond,-0.31507,35.37531
Kaitese Dispensary,Turkana,Hospital,,,,Loima,Nadapal,3.00493,35.43402
Kaithe Medical Clinic,Meru,Hospital,,,,Imenti North,Meru,0.10351,37.68147
Kaithe Stage Medcare,Meru,Hospital,,,,Imenti North,Meru,0.10535,37.6923
Kaithe Stage Medcare Clinic,Meru,Hospital,,,,Imenti North,Meru,0.09885,37.6785
Kaitui Dispensary,Kericho,Hospital,,,,Kericho,Kericho,-0.28621,35.16226
Kaiyaba Dispensary,Nyeri,Hospital,,,,Mathira West,Ngandu,-0.28465,37.05196
Kajabdar Medical Clinic,Mombasa,Hospital,,,,Likoni,Mombasa,-4.107,39.64363
Kajaja 2 Dispensary,Wajir,Hospital,,,,Tarbaj,Kajaja 2,1.99376,40.34394
Kajiado (AIC) Dispensary,Kajiado,Hospital,,,,Kajiado Central,Kajiado,-1.83119,36.80599
Kajiado Christian Medical Centre,Kajiado,Hospital,,,,Kajiado Central,Kajiado,-1.81891,36.81146
Kajiado County Beyond Zero Campaign Mobile Clinic,Kajiado,Hospital,,,,Kajiado Central, ,-1.85775,36.77214
Kajiado District Hospital,Kajiado,Hospital,,,,Kajiado Central,Kajiado Town,-1.85775,36.77214
Kajiampau Dispensary,Tharaka Nithi,Hospital,,,,Meru South,Chuka Town/ Kathwana Market,-0.31805,37.85015
Kajieyi Dispensary,Homa Bay,Hospital,,,,Rachuonyo North,Lida  Market,-0.37471,34.74031
Kajire Dispensary,Taita Taveta,Hospital,,,,Voi,Voi,-3.5172,38.6079
Kajuki Health Centre,Tharaka Nithi,Hospital,,,,Meru South,Chuka Town,-0.33542,37.83123
Kaka Health Clinic,Meru,Hospital,,,,Igembe Central,Kangeta Market,0.27501,37.88678
Kaka Medical Centre (Race Course Rd),Nairobi,Hospital,,,,Starehe,Wakulima market,-1.28613,36.83064
Kakamega Central Nursing Home,Kakamega,Hospital,,,,Kakamega Central (Lurambi),Kakamege Town,0.28361,34.75186
Kakamega County Beyond Zero Mobile Clinic,Kakamega,Hospital,,,,Kakamega Central (Lurambi), ,0.27432,34.7606
Kakamega Forest Dispensary,Kakamega,Hospital,,,,Kakamega East (Shinyalu),Shinyalu,0.2358,34.86755
Kakamega Police Line VCT,Kakamega,Hospital,,,,Kakamega Central (Lurambi),Kakamege Town,0.27907,34.75479
Kakamega Provincial General Hospital (PGH),Kakamega,Hospital,,,,Kakamega Central (Lurambi),Kakamege Town,0.27432,34.7606
Kakamega VCT Centre (Stand Alone),Kakamega,Hospital,,,,Kakamega Central (Lurambi),Kakamega Town,0.27945,34.75384
Kakeani Dispensary,Kitui,Hospital,,,,Kitui West,Kakeani,-1.15071,37.94233
Kakelae Dispensary,Turkana,Hospital,,,,Turkana North,Lokitaung,4.048,35.67
Kaki Family Medical Clinic,Meru,Hospital,,,,Imenti South,Kinoro Market,-0.17959,37.63352
Kakiptui Dispensary,Kericho,Hospital,,,,Belgut,Kericho,-0.37373,35.22604
Kako Dispensary,Makueni,Hospital,,,,Mbooni East,Kako Market,-1.70279,37.6473
Kakoneni Dispensary,Kilifi,Hospital,,,,Malindi,Kakoneni Market,-3.16442,39.86595
Kakong Dispensary,Turkana,Hospital,,,,Turkana South,Kainuk,2.0217,35.52571
Kakongo Dispensary,Machakos,Hospital,,,,Masinga,Kakongo,-1.01172,37.54335
Kakuku Dispensary,Machakos,Hospital,,,,Masinga,Kakuku,-0.9271,37.47506
Kakululo Dispensary,Kitui,Hospital,,,,Mwingi West,Kakululo,-1.06456,37.87144
Kakuma Medical Clinic,Turkana,Hospital,,,,Turkana West,Kakuma,4.2134,34.32561
Kakuma Mission Hospital,Turkana,Hospital,,,,Turkana West,Kakuma,3.70756,34.86506
Kakungu Dispensary,Kitui,Hospital,,,,Nzambani,Kavalula shopping center,-1.39028,38.0298
Kakutha Dispensary,Makueni,Hospital,,,,Nzaui,Matiliku,-1.92508,37.46834
Kakuuni Dispensary,Kitui,Hospital,,,,Katulani,Kitui,-1.45616,37.93771
Kakuyuni Dispensary (Malindi),Kilifi,Hospital,,,,Malindi,Malindi,-3.22034,40.00194
Kakuyuni Facility,Kilifi,Hospital,,,,Malindi,Malindi,-3.13236,40.00114
Kakuyuni Health Centre,Machakos,Hospital,,,,Kangundo,Kakuyuni,-1.36413,37.346
Kakuzi Limited Dispensary,Kiambu,Hospital,,,,Thika East,Thika,-1.0214,37.16755
Kakwanyang Dispensary,Turkana,Hospital,,,,Turkana Central,Lodwar,3.15338,35.67634
Kalaacha Dispensary,Kericho,Hospital,,,,Bureti,Kalaacha,-0.61517,35.1419
Kalabata Dispensary,Baringo,Hospital,,,,Baringo North,Kabartonjo,0.91602,35.83066
Kalacha (AIC) Dispensary,Marsabit,Hospital,,,,Marsabit North,North Horr,2.19993,37.59726
Kalacha Hospital (Chalbi),Marsabit,Hospital,,,,Marsabit North,North Horr,3.12688,37.42475
Kalacha Model Health Centre (Chalbi),Marsabit,Hospital,,,,Marsabit North,kalacha,3.10698,38.09409
Kalala Dispensary,Machakos,Hospital,,,,Mwala,Masii,-1.57479,37.63376
Kalalu Dispensary,Laikipia,Hospital,,,,Laikipia East,Nanyuki,0.08227,37.16625
Kalama Dispensary,Machakos,Hospital,,,,Machakos,Kyangala,-1.63472,37.3027
Kalambani Dispensary,Kitui,Hospital,,,,Mutomo,Mutha,-1.3988,38.30103
Kalamene Dispensary,Meru,Hospital,,,,Igembe South,Nduguto Market,0.21127,37.92697
Kalandini Health Centre,Machakos,Hospital,,,,Matungulu,Kalandini,-1.22208,37.29583
Kalanga Dispensary,Kitui,Hospital,,,,Mwingi East,Kalanga,-0.82149,38.39148
Kalanzoni Dispensary,Makueni,Hospital,,,,Mukaa,kalanzoni market,-1.70816,37.25748
Kalatine Dispensary,Kitui,Hospital,,,,Mumoni,Kalatine,-0.66925,37.9994
Kalawa Health Centre,Makueni,Hospital,,,,Mbooni East,Kalawa Market,-1.64758,37.71254
Kalemrekai Dispensary,West Pokot,Hospital,,,,West Pokot,Kongelai,1.44532,34.96367
Kalemungorok Dispensary,Turkana,Hospital,,,,Turkana South,Kalemungorok,2.137649,35.49764
Kalemung'orok Dispensary,West Pokot,Hospital,,,,North Pokot,Kacheliba Centre,1.55614,35.07806
Kalewa Dispensary,Tharaka Nithi,Hospital,,,,Maara,Chogoria,-0.26455,37.60916
Kali Dispensary,Makueni,Hospital,,,,Mbooni West,Kali Market,-1.63348,37.3863
Kaliakakya Dispensary,Kitui,Hospital,,,,Kitui Central,Kitui,-1.42109,37.91232
Kaliani Dispensary,Kitui,Hospital,,,,Mutomo,Mathima shopping center,-1.9041,38.3277
Kaliani Health Centre,Makueni,Hospital,,,,Mbooni West,Munyetani Market,-1.64099,37.494
Kalicha Dispensary,Mandera,Hospital,,,,Mandera North,Rhamu,3.97266,41.11829
Kalii Dispensary,Makueni,Hospital,,,,Makindu,Makindu,-2.10373,37.76118
Kaliku Dispensary,Kitui,Hospital,,,,Mutitu,Mutito,-1.29244,38.30107
Kalikuvu Dispensary,Kitui,Hospital,,,,Katulani,Kakuuni,-1.47474,37.92721
Kaliluni (AIC) Dispensary,Machakos,Hospital,,,,Kathiani, ,-1.49071,37.31491
Kalima Dispensary,Makueni,Hospital,,,,Nzaui, ,-1.98491,37.59554
Kalimani Disensary,Kitui,Hospital,,,,Matinyani,kalimani,-1.33963,37.94476
Kalimani Dispensary,Makueni,Hospital,,,,Kibwezi,Mtito Andei,-2.55138,38.09909
Kalimapus Dispensary,Turkana,Hospital,,,,Turkana Central,Kalokol,3.55141,35.91854
Kalimbene Dispensary,Meru,Hospital,,,,Igembe Central,Kangeta Market,0.30276,37.85314
Kalimoni Hospital (Ruiru),Kiambu,Hospital,,,,Ruiru,Ruiru Town,-1.14429,36.95616
Kalimoni Hospital (Thika),Kiambu,Hospital,,,,Thika West,Thika,-1.11605,37.01975
Kalisasi Dispensary,Kitui,Hospital,,,,Mwingi Central,Kalisasi,-0.96469,38.07142
Kalitini Dispensary,Kitui,Hospital,,,,Mwingi East,Kalitini,-0.99175,38.25583
Kalivu Dispensary,Kitui,Hospital,,,,Mutomo,Kalivu,-2.02032,38.10031
Kaliwa Dispensary,Kitui,Hospital,,,,Mumoni,Kaliwa Market,-0.5999,38.08451
Kalobeyei Dispensary,Turkana,Hospital,,,,Turkana West,Kakuma,3.81115,34.7288
Kalokol (AIC) Health Centre,Turkana,Hospital,,,,Turkana Central,Kalokol,3.5297,35.86744
Kalokol Dispensary,Turkana,Hospital,,,,Turkana Central,Kalokol,2.0744,35.44936
Kaloleni Dispensary,Nairobi,Hospital,,,,Makadara,Kaloleni Shopping Centre,-1.29553,36.84623
Kaloleni Health Servics,Nairobi,Hospital,,,,Makadara,Nairobi,-1.29553,36.84623
Kaloleni Medical Clinic,Trans Nzoia,Hospital,,,,Trans Nzoia West,Kitale,1.02765,34.99728
Kalukuni Mission Dispensary,Machakos,Hospital,,,,Yatta,Kithimani,-1.23918,37.51157
Kalulini Dispensary,Kitui,Hospital,,,,Lower Yatta,Kalulini Market,-1.65146,37.8457
Kalulini Dispensary (Kibwezi),Makueni,Hospital,,,,Kibwezi,Masongaleni,-2.35123,37.9948
Kalulu Dispensary,Kitui,Hospital,,,,Nzambani,Kalulu Shopping Center,-1.53529,38.16677
Kalunga Dispensary,Machakos,Hospital,,,,Kathiani,Kathiani,-1.44989,37.31371
Kalungu Dispensary,Makueni,Hospital,,,,Makindu,Kalungu,-2.35504,37.95359
Kaluo Dispensary,Siaya,Hospital,,,,Siaya,Hono Market,0.11195,34.33441
Kalwal Dispensary,Elgeyo Marakwet,Hospital,,,,Keiyo South,Iten,0.26756,35.61691
Kalyambeu Dispensary,Machakos,Hospital,,,,Mwala,Masii,-1.44701,37.50989
Kalyet Clinic (Kipkelion),Kericho,Hospital,,,,Londiani,Londiani,-0.12211,35.50582
Kalyet Clinic (Wareng),Uasin Gishu,Hospital,,,,Wareng,Eldoret,0.492988,35.2663
Kalyongwet,Kericho,Hospital,,,,Belgut,Kalyongwet,-0.36426,35.13807
Kam ENT Services,Nairobi,Hospital,,,,Starehe,City Market,-1.28447,36.82356
Kam Health Services,Nairobi,Hospital,,,,Starehe,City Market,-1.28447,36.82356
Kama Medical Clinic,Meru,Hospital,,,,Igembe South,Kanuni Market,0.17541,37.95653
Kamacabi Dispensary,Tharaka Nithi,Hospital,,,,Tharaka North,Gatunga,-0.00476,38.14997
Kamacharia Clinic,Murang'a,Hospital,,,,Mathioya,Kiriaini,-0.599524,36.9748
Kamacharia Dispensary,Murang'a,Hospital,,,,Mathioya,Kamacharia shoping centre,-0.60464,36.99249
Kamae Forest Dispensary,Kiambu,Hospital,,,,Lari,Kamae,-0.84708,36.63782
Kamae Medical Clinic,Kiambu,Hospital,,,,Lari,Gathwariga,-0.85243,36.604
