name,county,sub_county,nearest-landmark,lat,lon,type
Irondi Dispensary,Kisii,Kisii Central,Irondi,-0.7861,34.87875,Hospital
Iruri Dispensary,Murang'a,Mathioya,Kiriaini,-0.59685,37.02838,Hospital
Irwaga Health Centre,Bomet,Bomet East,Irwaga Market,-0.75593,35.44957,Hospital
Isamwera Dispensary,Kisii,Kisii South,Gesero Market,-0.64629,34.7196,Hospital
Isana Maternity and Nursing,Kisii,Kisii Central,Kisii Municipal Mkt,-0.69035,34.78869,Hospital
Isecha Health Centre,Kisii,Marani,Isecha,-0.57383,34.86413,Hospital
Ishiara Sub-District Hospital,Embu,Mbeere North,Ishiara,-0.45797,37.78821,Hospital
Isibania Mission Health Centre,Migori,Kuria West,Isibania,-1.22439,34.47823,Hospital
Isibania Sub-District Hospital,Migori,Kuria West,Isibania,-1.23602,34.48137,Hospital
Isinet Dispensary,Kajiado,Loitoktok,Isinet Market,-2.74121,37.5041,Hospital
Isinet Medical Clinic,Kajiado,Loitoktok,Isinet Market,-2.73725,37.5081,Hospital
Isinya Health Centre,Kajiado,Isinya,Isinya,-1.68803,36.85117,Hospital
Isinya Medical Care,Kajiado,Isinya,Isinya,-1.4134,36.50734,Hospital
Isinya Medical Clinic,Kajiado,Isinya,Isinya,-1.68942,36.85065,Hospital
Isiolo Central Medical Clinic,Isiolo,Isiolo,Isiolo,0.34917,37.58167,Hospital
Isiolo County Beyond Zero Mobile Dispensary,Isiolo,Isiolo, ,0.215449,37.35202,Hospital
Isiolo District Hospital,Isiolo,Isiolo,Isiolo,0.3658,37.58997,Hospital
Isiolo Medical Centre,Isiolo,Isiolo,Isiolo,0.351127,37.58475,Hospital
Islamic Relief Agency,Garissa,Garissa,Garissa,-0.45261,39.64464,Hospital
Island Farms Dispensary,Nyeri,Kieni East,Kabaru,-0.17421,37.06254,Hospital
Ismc Clinic,Marsabit,Marsabit,Marsabit,2.33011,37.98924,Hospital
Isoge Health Centre,Nyamira,Borabu,Isoge,-0.74484,35.05856,Hospital
Isra Walmiraj Medical Clinic,Kajiado,Kajiado Central,Kajiado TOWN,-1.84235,36.78572,Hospital
Isumba Dispensary,Kakamega,Kakamega Central (Lurambi),Bukura,0.24218,34.63962,Hospital
Itabua Police Dispensary,Embu,Manyatta,Embu,-0.54059,37.4754,Hospital
Itando Mission of Hope and Health Centre,Vihiga,Sabatia,Mbale,0.09916,34.73476,Hospital
Itangani Dispensary,Kitui,Kitui Central,Itangani,-1.3308,38.2385,Hospital
Itara Medical Clinic,Nyeri,Mukurweini,Gakinduini,-0.567366,36.9897,Hospital
Itare Dispensary,Bomet,Konoin,Itare,-0.56275,35.28923,Hospital
Itembe Dispensary,Bomet,Chepalungu,Bomet,-0.78589,35.19619,Hospital
Itembu Dispensary,Kisii,Kenyenya,Mokubo,-0.92049,34.69432,Hospital
Iten District Hospital,Elgeyo Marakwet,Keiyo,Eldoret,0.67587,35.50677,Hospital
Itendeu Dispensary,Kitui,Mwingi Central,Kyethani,-0.84465,38.00819,Hospital
Itetani Dispensary,Makueni,Mbooni West,Itetani Market,-1.58761,37.38642,Hospital
Ithaeni Dispensary,Machakos,Kathiani,Machakos,-1.46582,37.35181,Hospital
Ithanga Dispensary,Kiambu,Thika East,Kaguku,-1.02627,37.20346,Hospital
Ithanga Medical Clinic,Kiambu,Thika East, ,-0.985005,37.3309,Hospital
Ithangarari Dispensary,Murang'a,Gatanga, ,-0.95383,36.96888,Hospital
Ithare Medical Clinic,Kirinyaga,Kirinyaga East,Ithare,-0.541657,37.3267,Hospital
Ithe-Kahuno Medical Clinic,Nyeri,Tetu,Ithekahuno,-0.50859,37.04579,Hospital
Itheng'eli Dispensary,Kitui,Mwingi Central,Itheng'eli,-1.10935,38.12509,Hospital
Ithimbari Dispensary,Meru,Imenti South,Kionyo Mkt,-0.08638,37.59155,Hospital
Ithumbi Dispensary,Kitui,Mwingi Central,Ithumbi,-0.8707,38.07549,Hospital
Ithuthi Healthcare Unit,Nyeri,Tetu, ,-0.45423,36.90102,Hospital
Itiati Dispensary,Nyeri,Mathira West,Itiati,-0.41369,37.10903,Hospital
Itiati University Campus Dispensary,Nyeri,Mathira West,Near Gitinduti Market,-0.40578,37.11625,Hospital
Itibet Dispensary,Kericho,Belgut,Kiptere,-0.36675,35.116,Hospital
Itibo Eramani Dispensary,Kisii,Nyamache,Nyangusu,-0.754818,34.740259,Hospital
Itibo Mission Health Centre,Nyamira,Nyamira North,Itibo,-0.55842,35.0036,Hospital
Itierio Nursing Home,Kisii,Kisii South,Suneka  Town,-0.67834,34.71455,Hospital
Itiko Dispensary,Kitui,Kitui Central,Itiko Primary School,-1.27213,38.1969,Hospital
Itithini Dispensary,Makueni,Makueni,Kilala,-1.7266,37.54733,Hospital
Itoleka Dispenasry,Kitui,Katulani,Kitui,-1.43021,37.94227,Hospital
Itoloni Dispensary,Kitui,Mwingi West, ,-1.107757,38.04969,Hospital
Itongolani Dispensary,Kitui,Mwingi Central,Itongolani,-0.86442,37.9713,Hospital
Itonguri Disoensary,Embu,Manyatta,Kianjokoma,-0.4056,37.49095,Hospital
Itotia Medical Clinic,Kiambu,Lari,Kambaa Trading Center,-0.99076,36.65296,Hospital
Itugururu Dispensary,Tharaka Nithi,Meru South,Chuka Town Ituguru Market,-0.41924,37.70269,Hospital
Itumbe Dispensary,Kisii,Nyamache,Nyamache,-0.75783,34.77571,Hospital
Itumbule (Makueni) Dispensary,Makueni,Makueni,Kathonzweni,-1.85321,37.66794,Hospital
Itumbule Dispensary,Makueni,Mukaa,SalamaA(Yoani),-1.92643,37.70288,Hospital
Itundu Dispensary,Nyeri,Mathira East,Itundu,-0.41685,37.18468,Hospital
Itundu Medical Clinic,Nyeri,Mathira East,Iriaini,-0.413289,37.1949,Hospital
Itunduimuni Health Centre,Machakos,Masinga,Itunduimuni,-1.04355,37.56065,Hospital
Ituramiro Medical Clinic,Kiambu,Gatundu,Gatundutown,-0.944662,36.7909,Hospital
Iuani Health Centre,Makueni,Makueni,Kilala,-1.72986,37.52299,Hospital
Iuuma Dispensary,Machakos,Masinga,Kivaa,-0.90371,37.79938,Hospital
Ivinga Nzia Dispensary,Makueni,Makueni,Ivinganziz,-1.83636,37.86382,Hospital
Ivingoni Dispensary (Kibwezi),Makueni,Kibwezi,Kambu,-2.64834,38.08289,Hospital
Ivochio Dispensary,Kakamega,Kakamega East (Shinyalu),Lubao,0.28746,34.80715,Hospital
Ivona Clinic,Kakamega,Lugari,Makutano,0.73768,34.98853,Hospital
Ivuusya Dispensary,Kitui,Mwingi East,Ivuusya,-0.88912,38.41501,Hospital
Iwam Medical Clinic,Nyeri,Kieni West,Nairutia town,-0.08655,36.42748,Hospital
Iyabe District Hospital (Kisii South),Kisii,Kisii South,Kerina Market,-0.69344,34.67911,Hospital
J A Comenius Medical Clinic,Kwale,Matuga,Ukunda,-4.23358,39.58078,Hospital
Jabali Dispensary,Uasin Gishu,Eldoret West,MoisBridge,0.08729,35.48577,Hospital
Jaber Dispensary,Kisumu,Muhoroni,muhoroni market,0.13417,35.21683,Hospital
Jacaranda Health Limited (Ruiru),Kiambu,Ruiru,Ruiru town,-1.16644,36.96015,Hospital
Jacaranda Maternity  (Kiamumbi ),Kiambu,Kiambu,Kahawa West,-1.18759,36.89501,Hospital
Jacaranda Special School,Nairobi,Dagoretti North, ,-1.28133,36.78657,Hospital
Jacky Medical Clinic,Tharaka Nithi,Tharaka North,Mukothima,-0.01287,37.99537,Hospital
Jadi Medical Clinic,Mombasa,Changamwe,Mombasa,-4.01887,39.63254,Hospital
Jaffery Medical Clinic,Mombasa,Mvita,Mombasa,-4.05929,39.67626,Hospital
Jaggery Medical Clinic,Bungoma,Bungoma East,Webuye,0.64248,34.75923,Hospital
Jagoror Dispensary,Kericho,Londiani,Londiani,-0.14725,35.5463,Hospital
Jaima Clinic,Kirinyaga,Kirinyaga South,Mahigaini,-0.652397,37.3954,Hospital
Jalaram Medical Services,Nairobi,Westlands,"19 Jalaram Road Off Ring Road, Parklands near Oval Center",-1.25854,36.80643,Hospital
Jalaram Nursing Home,Kisumu,Kisumu East,Kisumu,-0.09485,34.76432,Hospital
Jalish Dispensary,Garissa,Hulugho,ijara town,-1.69639,40.50929,Hospital
Jalsonga Medical Clinic,Siaya,Siaya,Siaya Town,0.06086,34.28486,Hospital
Jamaa Mission Hospital,Nairobi,Makadara,Buruburu Shopping Centre,-1.28186,36.87333,Hospital
Jamaica Medical Clinic,Nyeri,Tetu,Ihithe,-0.48219,36.87211,Hospital
Jambo Clinic,Kilifi,Malindi,Malindi,-3.22151,40.10488,Hospital
Jambo Medical Clinic,Mombasa,Kisauni,Mombasa,-4.03867,39.6894,Hospital
Jambu Medical Clinic,Meru,Imenti South,Igoji Mkt,-0.07694,37.61535,Hospital
James Clinic and Lab Services,Murang'a,Gatanga,Gatura,-0.86312,36.86243,Hospital
Jamhuri Medical Clinic,Mombasa,Changamwe,Mombasa,-4.01392,39.6208,Hospital
Jamia Islamic Intergrated,Garissa,Garissa,Garissa town,-0.44369,39.66079,Hospital
Jamia Med Clinic,Uasin Gishu,Eldoret West,Eldoret,0.51867,35.26655,Hospital
Jamia Medical Centre,Kakamega,Mumias,Mumias,0.335181,34.4861,Hospital
Jamia Mosque Dispensary,Kirinyaga,Kirinyaga South,Wanguru,-0.67445,37.35835,Hospital
Jamii Afya Clinic,Kitui,Kitui Central,Kitui,-1.21548,38.0056,Hospital
Jamii Clinic (Lamu),Lamu,Lamu West,Mpeketoni,-2.23491,40.41914,Hospital
Jamii Clinical Services,West Pokot,West Pokot,Kapenguria,1.26028,35.09424,Hospital
Jamii Clinical Services Clinic,Siaya,Siaya,Siaya Town,0.06048,34.28555,Hospital
Jamii Health Care Clinic (Kisauni),Mombasa,Kisauni,Mombasa,-4.03037,39.68441,Hospital
Jamii Health Services,Nyandarua,Kinangop,Engineer Town,0.3634,36.34562,Hospital
Jamii Health Services Medical Clinic,Kakamega,Kakamega East (Shinyalu),Lubao,0.33467,34.81338,Hospital
Jamii Hospital,Nyeri,Mathira East,Karatina,-0.47896,37.1311,Hospital
Jamii Medical Clinic,Kirinyaga,Kirinyaga East, ,-0.44758,37.3477,Hospital
Jamii Medical Clinic,Nyandarua,Nyandarua South,Ndunyu Njeru Market,-0.54273,36.56478,Hospital
Jamii Medical Clinic (Gatundu),Kiambu,Gatundu,Kamwangi,-0.88699,36.80429,Hospital
Jamii Medical Clinic (Kirinyaga North),Kirinyaga,Kirinyaga North, ,-0.5048,37.28039,Hospital
Jamii Medical Clinic (Malindi),Kilifi,Malindi,Malindi,-3.88917,39.5638,Hospital
Jamii Medical Clinic (Meru),Meru,Imenti North,Meru,0.09234,37.51877,Hospital
Jamii Medical Clinic (Muranga North),Murang'a,Kahuro,Kahuro,-0.745661,36.9985,Hospital
Jamii Medical Clinic (Mwala),Machakos,Mwala,Mwala,-1.24215,37.40521,Hospital
Jamii Medical Clinic (Namanga),Kajiado,Kajiado Central,Namanga,-2.15835,37.59294,Hospital
Jamii Medical Clinic Masimba,Kajiado,Kajiado Central,Simba Town Centre,-2.15835,37.59294,Hospital
Jamii Medical Clinic Mukuru,Nairobi,Embakasi South,Kobil Mukuru,-1.32614,36.89086,Hospital
Jamii Medical Clinic Vihiga,Vihiga,Vihiga,Majengo town,0.0455,34.72,Hospital
Jamii Medical Hospital,Nairobi,Roysambu,Nairobi,-1.25236,36.8823,Hospital
Jamii Nursing Home,Mandera,Mandera East,Mandera,3.93764,41.85515,Hospital
Jamii Yadah Medical Centre,Nairobi,Embakasi East,Utawala,-1.8861,36.97172,Hospital
Jamji Dispensary,Kericho,Belgut,Kericho,-0.47254,35.18607,Hospital
Jamwa Medical Clinic,Nyeri,Mukurweini,Gikondi,-0.553581,37.1229,Hospital
JANCAM Medical Centre,Nakuru,Subukia,Subukia,0.00272,36.23047,Hospital
Janeiro Nursing Home,Homa Bay,Homa Bay,Homabay,-0.5483,34.507,Hospital
Janju Dispensary,Garissa,Lagdera,Modogashe Town,0.69159,39.0747,Hospital
Jarajara Dispensary,Garissa,Balambala,Garissa,-0.04419,39.01243,Hospital
Jaribu Medical Clinic,Garissa,Garissa,Garissa,-0.44894,39.63997,Hospital
Jaribuni Dispensary,Kilifi,Ganze,Jaribuni,-3.6326,39.74256,Hospital
Jasho Medical Clinic,Vihiga,Vihiga,Mbale,0.0795,34.7192,Hospital
Jawabu (Community) Medical Clinic,Homa Bay,Rachuonyo South,Kadongo Market,-0.44757,34.89305,Hospital
Jawabu Medical Clinic,Turkana,Turkana West,Lokichoggio,4.2055,34.35812,Hospital
Jeddah Nursing Home and Medical Centre,Wajir,Wajir East,Aligalo Traders,1.74976,40.05636,Hospital
Jeddah Pharmacy,Wajir,Wajir East,Wajir,1.75057,40.05689,Hospital
Jeffrey Medical & Diagnostic Centre,Nairobi,Dagoretti North,Stage 46,-1.28747,36.74876,Hospital
Jehova Jireh Clinic,Kirinyaga,Kirinyaga Central,Kagumo,-0.47564,37.23723,Hospital
Jehova Rapha Clinic,Kakamega,Matungu,MAYONI CENTRE,0.3789,34.4888,Hospital
Jehova Rapha Medical Clinic,Trans Nzoia,Trans Nzoia West,Kitale,0.92239,34.94209,Hospital
Jehovah Shalom Medical Clinic Lodwar,Turkana,Turkana Central,Lodwar Town Central Business District,2.80539,34.9699,Hospital
Jeikei Medical Clinic,Kiambu,Ruiru,Ruiru town,-1.16001,36.95764,Hospital
Jellin Medical Clinic,Nairobi,Dagoretti North, ,-1.28721,36.74285,Hospital
Jeluto Medical Clinic,Kitui,Matinyani,Matinyani,-1.31142,37.97725,Hospital
Jemunada Dispensary,Elgeyo Marakwet,Marakwet West,Eldoret,0.94792,35.4459,Hospital
Jena Medical Clinic,Turkana,Turkana Central,Lodwar,3.11045,35.60758,Hospital
Jepkoyai Dispensary,Vihiga,Hamisi, ,0.00584,34.72548,Hospital
Jera Dispensary,Siaya,Ugenya,Jera Market,0.2862,34.26382,Hospital
Jerapha Maternity,Nairobi,Roysambu,Nairobi,-1.20244,36.9038,Hospital
Jericho Health Centre,Nairobi,Makadara,Jericho Shopping Centre,-1.2622,36.88836,Hospital
Jericho Medical Clinic,Mombasa,Kisauni,Mombasa,-4.04284,39.68553,Hospital
Jerusalem Clinic,Nairobi,Embakasi West,Jerusalem shopping center,-1.28515,36.86641,Hospital
Jesmah CFW Clinic,Kirinyaga,Kirinyaga West,Kiburu,-0.54194,37.20873,Hospital
Jesmond (ACK) Dispensary (Mburi),Kirinyaga,Kirinyaga East,Mburi,-0.52172,37.37006,Hospital
Jesus Heals Mc,Trans Nzoia,Trans Nzoia West,Kitale,0.91164,35.0753,Hospital
Jesus Is Alive Dental Clinic (Nairobi),Nairobi,Starehe,City Market,-1.28853,36.82619,Hospital
Jetma Clinic,Embu,Manyatta,Embu,-0.54496,37.45496,Hospital
Jevros Clinic,Migori,Awendo,Ranen Market,-0.86167,34.56822,Hospital
Jeytee,Nairobi,Kasarani,Near Sunton,-1.23126,36.92404,Hospital
JFK Engineering Disp,Kericho,Belgut,Kericho,-0.41415,35.18607,Hospital
JFK Ii Dispensary,Kericho,Belgut,Kericho,-0.367641,35.3214,Hospital
Jibana Sub District Hospital,Kilifi,Kaloleni,Kaloleni,-3.83116,39.68587,Hospital
Jilango Dispensary,Garissa,Lagdera, ,0.55359,39.27013,Hospital
Jilore Dispensary,Kilifi,Malindi,Jilore,-3.18857,39.90593,Hospital
Jimron Medical Clinic,Trans Nzoia,Kwanza,Kitale,1.09963,35.06707,Hospital
Jinnah Ave Clinic,Nairobi,Langata,South C shopping center,-1.31301,36.82615,Hospital
Jirani Medical Clinic,Murang'a,Kiharu,Muranga,-0.713561,37.1602,Hospital
Jirime Dispensary,Marsabit,Marsabit,Marsabit town,2.34761,37.98771,Hospital
Jkia Health Centre,Nairobi,Embakasi East,Embakasi,-1.32882,36.92517,Hospital
Jkuat Hospital,Kiambu,Thika West, ,-1.10176,37.01437,Hospital
Jobefar Medical Services,Busia,Busia,Busia (K),0.45687,34.11989,Hospital
Jocham Hospital,Mombasa,Kisauni,Ekengeleni - Mombasa,-4.03672,39.68148,Hospital
Johani Chemist,Meru,Imenti North, ,0.04546,37.65854,Hospital
Johanna Justin-Jinich Community Clinic (Kibera),Nairobi,Kibra,Olympic Estate,-1.3157,36.78598,Hospital
Johpas Clinic,Homa Bay,Homa Bay,Rangwe,-0.6256,34.62249,Hospital
Joint Medical Clinic,Mombasa,Likoni,Mombasa,-4.08925,39.6587,Hospital
Joint Partner Medical Clinic,Vihiga,Hamisi, ,0.14149,34.8809,Hospital
Jolly Medical Clinic,Meru,Tigania East,Karama,0.24341,37.82861,Hospital
Jomvu Kuu (MCM) Dispensary,Mombasa,Changamwe,Mombasa,-4.00512,39.59837,Hospital
Jomvu Model Health Centre,Mombasa,Changamwe,Mombasa,-4.00449,39.59929,Hospital
Jomvu Wellness Centre,Mombasa,Changamwe,Mombasa,-4.00917,39.58981,Hospital
Jonalifa Clinic,Nairobi,Dagoretti North,DO'S Office Riruta,-1.28606,36.73978,Hospital
Joppa Medical Clinic,Nakuru,Njoro,Njoro,-0.37896,35.93294,Hospital
Jordan Baptist Medical Clinic,Bungoma,Bungoma South,Bungoma,0.52912,34.53191,Hospital
Jordan Hospital,Kitui,Kitui Central,Kitui,-1.36729,38.00322,Hospital
Jordan Medical Clinic,Mombasa,Kisauni,Bamburi - Mombasa,-4.01138,39.69408,Hospital
Jordan Medical Clinic (Kangundo),Machakos,Kangundo,Kangundo,-1.30245,37.34562,Hospital
Jordan Medical Clinic (Ruiru),Kiambu,Ruiru,Ruiru Town,-1.15051,36.94581,Hospital
Josan Medical Clinic,Tharaka Nithi,Tharaka South,Nkondi,-0.04684,37.95838,Hospital
Josdidas Medicare,Kajiado,Kajiado North,Kiserian,-1.42904,36.68655,Hospital
Joseph Memorial Medical Centre,Nakuru,Gilgil,Near Gilgil Police Station,-0.50086,36.32462,Hospital
Joshua Memorial Mbai Dispensary,Kirinyaga,Kirinyaga East,Githure,-0.44404,37.41089,Hospital
Josiah Community Medical Centre,Nairobi,Embakasi South,Donholm,-1.31566,36.88943,Hospital
Joska Medical Care,Meru,Imenti North,Meru,0.05195,37.7174,Hospital
Joska Medical Care Clinic,Meru,Imenti North,Meru,0.0505,37.69875,Hospital
Joskae Clinic Kibingoti,Kirinyaga,Kirinyaga West,Kibingoti,-0.528115,37.1871,Hospital
Joskar CFW Clinic (Kibingiti),Kirinyaga,Kirinyaga West, ,-0.56448,37.18869,Hospital
Josmed Clinic,Kiambu,Kikuyu,Ndumbuini,-1.25553,36.73277,Hospital
Josnik Clinic,Nairobi,Roysambu,just behind auncle sams bar,-1.19933,36.90276,Hospital
Joster Medical Clinic,Kajiado,Kajiado North,Kiserian,-1.43016,36.68635,Hospital
Jowabu Modern Med Lab,Trans Nzoia,Trans Nzoia West,Within Kitale town,1.01471,35.00292,Hospital
Jowama Medical Clinic,Kiambu,Kiambu,Kiambu Town,-1.17178,36.84103,Hospital
Jowhar Dispensary,Wajir,Tarbaj,Wajir,1.78466,40.10293,Hospital
Joy Clinic Manyatta,Embu,Manyatta,Manyatta,-0.43061,37.47756,Hospital
Joy Medical Clinic (Changamwe),Mombasa,Changamwe,Mombasa,-4.00203,39.62966,Hospital
Joy Medical Clinic (Lusigetti),Kiambu,Kikuyu,Lusigetti,-1.27534,36.61222,Hospital
Joy Medical Clinic (Mwatate),Taita Taveta,Mwatate,Mwatate,-3.5037,38.37843,Hospital
Joy Medical Clinic (Thunguma),Nyeri,Nyeri Central,Town Centre,-0.417271,36.9937,Hospital
Joy Medical Clinic Chuka,Tharaka Nithi,Meru South,Chuka,-0.33547,37.64641,Hospital
Joy Medical Services (Majengo),Nyeri,Nyeri Central,Town Centre,-0.001332,37.094,Hospital
Joy Nursing Home and Maternity,Nairobi,Kamukunji,Eastleigh Air Base,-1.26667,36.85523,Hospital
Joy Town Clinic,Kiambu,Thika West, ,-1.0382,37.09157,Hospital
Joy Youth Centre Kapsoit,Kericho,Kericho,Kapsoit Market,-0.31954,35.21969,Hospital
Joykim Nursing Home,Embu,Manyatta,Embu,-0.55287,37.47047,Hospital
Joyland Medical Clinic,Kiambu,Thika West,Juja,-1.10152,37.01366,Hospital
Joysafe Medical Centre,Kiambu,Limuru,Limuru,-1.10731,36.64153,Hospital
Joytown Special School,Kiambu,Thika West, ,-1.02794,37.0685,Hospital
Jozi Medical Centre,Nairobi,Roysambu,next to success stage zimmerman next to success stage zimmerman,-1.2039,36.89423,Hospital
Jubilee Care Clinic,Kiambu,Kikuyu,Gitaru,-1.23493,36.67231,Hospital
Jubilee Medical Clinic,Kiambu,Thika West, ,-1.06743,37.0979,Hospital
Judy Medical Clinic,Mombasa,Changamwe,Mombasa,-4.01022,39.60388,Hospital
Juhudi Clinic,Nairobi,Makadara,Nairobi,-1.2956,36.8499,Hospital
Juja Farm Health Centre,Kiambu,Thika West,Juja,-1.16671,37.08161,Hospital
Juja Road Hospital (Nairobi),Nairobi,Starehe,Pangani,-1.27205,36.84026,Hospital
Juluk Dispensary,Turkana,Turkana South,Nakwamoru,3.1236,35.5967,Hospital
Junction Clinic,Siaya,Bondo,Bondo Town,-0.06117,34.16563,Hospital
Junction Medical Clinic,Vihiga,Sabatia,Chavakali,0.115198,34.7328,Hospital
Junda Dispensary,Mombasa,Kisauni,Kongowea,-4.04025,39.67095,Hospital
Junju Dispensary,Kilifi,Kilifi South,Mtwapa,-3.82977,39.76133,Hospital
Just Meno Limited,Nairobi,Makadara,Mutindwa,-1.28338,36.88006,Hospital
Jusus Responds Clinic,Trans Nzoia,Trans Nzoia West,Kitale,1.03424,34.99414,Hospital
K K Chogoria Clinic,Meru,Igembe Central,K K Market,0.29348,37.93986,Hospital
K K Medical Clinic,Meru,Igembe Central,K K Market,0.29474,37.94064,Hospital
K K Mwethe Diispensary,Meru,Tigania East,Kiguchwa,0.17254,37.83746,Hospital
K- Met Clinic,Kisumu,Kisumu East,Kisumu,-0.1164,34.7871,Hospital
Kaalem Dispensary,Turkana,Turkana North,Kaaleng,4.32244,35.67673,Hospital
Kaaleng Dispensary,Turkana,Turkana North,Kaaleng,3.90231,35.38123,Hospital
Kaani Dispensary,Machakos,Kathiani,Kaani,-1.51621,37.35348,Hospital
Kaanwa CFW Clinic,Tharaka Nithi,Meru South,Kaanwa,0.0,37.0,Hospital
Kaanwa CFW Clinic,Tharaka Nithi,Meru South,Kaanwa,-0.032203,37.72013,Hospital
Kaanwa Dispensary,Tharaka Nithi,Meru South,Chuka Town/ Kaanwa mkt,-0.32152,37.72414,Hospital
Kaapus Dispensary,Turkana,Loima,Lodwar,3.07424,35.50892,Hospital
Kaare Dispensary,Tharaka Nithi,Maara,Chogoria,-0.18257,37.79269,Hospital
Kaathari Dispensary (CDF),Embu,Embu East,Runyenjes,-0.39413,37.60475,Hospital
Kabaa Dispensary,Kitui,Kitui Central,Kitui,-1.35767,38.04501,Hospital
Kabalwat Dispensary,Elgeyo Marakwet,Keiyo South,Eldoret,0.33887,35.54616,Hospital
Kabarak Health Centre,Nakuru,Rongai,Rongai,-0.16875,35.96547,Hospital
Kabarak University Medical Centre,Nakuru,Rongai, ,-0.16899,35.96529,Hospital
Kabare Health Centre,Kirinyaga,Kirinyaga East,Kabare,-0.50573,37.32042,Hospital
Kabarnet District Hospital,Baringo,Baringo Central,Kabarnet,0.48505,35.74176,Hospital
Kabarnet Faith Clinic,Baringo,Baringo Central,Kabarnet,0.49404,35.74056,Hospital
Kabarnet High School Dispensary,Baringo,Baringo Central,Kabarnet,0.49275,35.74594,Hospital
Kabarnet Womens' Clinic,Baringo,Baringo Central,Kabarnet,0.49478,35.7439,Hospital
Kabartonjo District Hospital,Baringo,Baringo North,Kabartonjo,0.61824,35.787,Hospital
Kabati Dispensary,Nyeri,Kieni West,Mwiyogo,-0.25521,36.82663,Hospital
Kabati Dispensary (Laikipia West),Laikipia,Laikipia West,Kabati town,0.46905,36.39072,Hospital
Kabati Maternity Nursing Home,Kitui,Kitui West,Kabati,-1.23545,37.91632,Hospital
Kabati Medical Centre,Kitui,Kitui West,Kabati,-1.23696,37.91541,Hospital
Kabati Medical Clinic,Murang'a,Kandara,Kabati,-0.95138,37.10665,Hospital
Kabati Medicare Health Services Nursing Home,Kitui,Kitui Central,Kabati,-1.23245,37.9159,Hospital
Kabatini Health Centre,Nakuru,Nakuru North,Kabatini,-0.21116,36.16205,Hospital
Kabazi Sub-District Hospital,Nakuru,Subukia,Kabazi,-0.07637,36.16787,Hospital
Kabete Approved School Dispensary,Nairobi,Westlands,near Lower Kabete Market,-1.239953,36.730672,Hospital
Kabetwa Health Centre,Elgeyo Marakwet,Marakwet East,Kapsowar,1.16066,35.64437,Hospital
Kabianga Health Centre,Kericho,Belgut,Kericho,-0.44595,35.14648,Hospital
Kabianga Tea Research,Kericho,Belgut,Kericho,-0.221417,35.17761,Hospital
Kabichbich Health Centre,West Pokot,Pokot South,Kabichbich,1.20981,35.27705,Hospital
Kabichbich Miss Dispensary,West Pokot,Pokot South,Kabichbich,1.19589,35.28641,Hospital
Kabiemit Dispensary (Keiyo),Elgeyo Marakwet,Keiyo South,Eldoret,0.31408,35.5295,Hospital
Kabiemit Dispensary (Mosop),Nandi,Nandi North,Eldoret,0.51637,35.07591,Hospital
Kabimoi Dispensary,Baringo,Koibatek,Eldama Ravine,0.02522,35.78285,Hospital
Kabinga (CHBC) Dispensary,Kericho,Belgut,Sosiot,-0.410755,35.1559,Hospital
Kabirirsang Dispensary,Nandi,Nandi Central,Kapsabet,0.17472,35.16954,Hospital
Kabirirsang Youth Centre,Nandi,Nandi Central, ,0.16883,35.16825,Hospital
Kabiro Medical Clinic,Nairobi,Dagoretti North,Kawangware 56,-1.28042,36.75193,Hospital
Kabiruini Health Clinic,Nyeri,Mathira West,Ruguru,-0.26875,37.04805,Hospital
Kabisaga Dispensary,Nandi,Nandi North,Kapsabet,0.43097,35.11065,Hospital
Kabitungu Dispensary,Kericho,Bureti,Kabitungu,-0.47643,35.14623,Hospital
Kabiyet Dispensary,Baringo,Koibatek,Kabiyet Center,0.00145,35.73072,Hospital
Kabiyet Health Centre,Nandi,Nandi North,Kapsabet,0.40515,35.08472,Hospital
Kabobo Health Centre,Uasin Gishu,Eldoret West,Eldoret,0.7384,35.2638,Hospital
Kaboeito Dispensary,Kericho,Bureti,Ngoina Estate,-0.53265,35.07139,Hospital
Kabogor Dispensary,Baringo,Mogotio,Emining Centre,0.19231,35.85483,Hospital
Kaboi Dispensary,Nandi,Nandi South,Kipkenyo,0.10462,35.09219,Hospital
Kabolecho Dispensary,Narok,Trans Mara East,Kabolecho Market,-0.99162,35.13925,Hospital
Kabondo Sub-District Hospital,Homa Bay,Rachuonyo South,Kadongo Market,-0.42077,34.87435,Hospital
Kaborok Dispensary,Kericho,Belgut,Sosiot,-0.39421,35.15865,Hospital
Kaborom Dispensary,Bungoma,Mt Elgon,Kaborom,0.86638,34.78542,Hospital
Kaboson Health Centre,Bomet,Chepalungu,Kaboson Market,-0.98822,35.2314,Hospital
Kaboswa Tea Dispensary,Nandi,Nandi East,Nandi Hills,0.10455,35.22457,Hospital
Kaboywo Dispensary,Bungoma,Mt Elgon,Chelilde,0.91243,34.76319,Hospital
Kabras Action Group (KAG) Clinic,Kakamega,Kakamega North (Malava),Kakunga,0.37599,34.83777,Hospital
Kabuchai Health Centre,Bungoma,Bungoma Central,Chwele,0.64657,34.56012,Hospital
Kabuguri Dispensary,Embu,Mbeere South,Kabuguri,-0.73643,37.7174,Hospital
Kabula Dispensary,Bungoma,Bumula,Bungoma,0.47438,34.5257,Hospital
Kabulokor Dispensary,Turkana,Loima,Kalemunyang,2.81356,35.37318,Hospital
